prob,label,pred
0.41967633,0,0
0.42992485,0,0
0.3454373,0,0
0.38685676,0,0
0.35368115,0,0
0.40735605,1,0
0.3432829,0,0
0.32283935,0,0
0.2911002,0,0
0.3373198,0,0
0.36343247,0,0
0.37357903,0,0
0.4754056,0,0
0.47489718,0,0
0.43519747,0,0
0.444628,0,0
0.53515285,1,1
0.34896022,0,0
0.37669677,0,0
0.35284474,0,0
0.3257287,0,0
0.36540163,0,0
0.31111133,0,0
0.35993686,0,0
0.29466286,0,0
0.36776313,0,0
0.23639858,0,0
0.28078645,1,0
0.30013815,0,0
0.30133367,0,0
0.35834196,0,0
0.3634492,0,0
0.39692348,0,0
0.35611084,0,0
0.34872985,0,0
0.31189114,0,0
0.34217063,0,0
0.3111536,0,0
0.28057247,1,0
0.37487695,0,0
0.37385944,0,0
0.34607062,0,0
0.36681288,0,0
0.43157285,0,0
0.42481884,0,0
0.34223452,0,0
0.42643213,0,0
0.45860797,0,0
0.3670715,0,0
0.39339122,1,0
0.40265453,0,0
0.40423405,0,0
0.4210056,0,0
0.3934826,0,0
0.36960736,0,0
0.38983127,0,0
0.3508669,0,0
0.41167292,0,0
0.38872978,0,0
0.35911766,0,0
0.38319063,1,0
0.36741728,1,0
0.41835257,0,0
0.50914574,0,0
0.44824433,0,0
0.4278314,0,0
0.43121064,0,0
0.40259725,0,0
0.40055618,0,0
0.39536524,0,0
0.40302292,0,0
0.4515597,0,0
0.4976704,1,0
0.3601713,0,0
0.37097508,0,0
0.36128974,0,0
0.48126048,0,0
0.55285925,0,1
0.58998704,0,1
0.633932,0,1
0.5752768,0,1
0.46376598,0,0
0.4974081,0,0
0.47876713,1,0
0.43008485,0,0
0.4215312,0,0
0.42986304,0,0
0.46726876,0,0
0.43496564,0,0
0.47232163,0,0
0.49974552,0,0
0.40169865,0,0
0.48896417,0,0
0.5593664,0,1
0.5326451,1,1
0.60519505,0,1
0.6087792,0,1
0.5818849,0,1
0.6017179,0,1
0.5924066,0,1
0.52693176,0,1
0.5154134,0,0
0.5854477,0,1
0.5169733,0,0
0.5329587,0,1
0.6096637,1,1
0.5368998,0,1
0.6355183,0,1
0.6035271,0,1
0.5355201,1,1
0.5312707,1,1
0.623653,1,1
0.69643587,1,1
0.67738956,1,1
0.6674007,1,1
0.7231691,1,1
0.7098154,1,1
0.75731665,1,1
0.87386703,1,1
0.8688181,1,1
0.90309584,1,1
0.8648069,1,1
0.8795157,1,1
0.8072972,1,1
0.8208275,1,1
0.7689974,1,1
0.7276597,1,1
0.65048504,1,1
0.6763588,1,1
0.6481286,1,1
0.759526,1,1
0.7590694,1,1
0.84163564,1,1
0.8393695,1,1
0.84788597,1,1
0.84603554,1,1
